Unnamed: 0,number,이름,이미지,종류,원재료,도수,용량,제품 소개,어울리는 음식,양조장명,페이지 링크,sweet,salty,bitter,sour,sparkle,sol,spicy
387,387,세종대왕어주 탁주,https://thesool.com/common/imageView.do?targetId=PR00000064&targetNm=PRODUCT,탁주,"쌀(국내산), 누룩, 정제수",13.0,500ml,"세종대왕어주 탁주는 국내산 찹쌀과 멥쌀, 전통누룩을 사용하여 세계3대 광천수로 유명한 초정리의 암반수로 빚은 술입니다. 저온에서 오랜시간 숙성하여 산뜻한 단맛과 은은한 배꽃, 풋사과 향이 납니다. 세종대왕의 어의가 쓴 산가요록 주방문에서 황금주 제법을 현대에 구현한 술닙니다. 탁주의 깨끗한 산미와 담백한 단맛을 느낄 수 있는 술로 은은한 과일 향이 일품인 프리미엄 막걸리입니다.",진한 아이보리 빛깔을 갖고 있으며 잘 익은 견과류와 신선한 과일맛이 동시에 느껴집니다. 옅은 단맛에 신선한 산미가 입 전체를 시원하게 만들어 줍니다. 술을 마시고 난 후에 혀에 남는 미세한 곡물의 느낌이 음식을 당기게 합니다. 일반 막걸리에 비해 도수(13%)가 높기 때문에 작은 잔에 식사와 함께 먹기 좋은 술입니다. 매운 갈비찜과 잘 어울립니다.,장희도가,https://jhdg3491.modoo.at/,1.0,0.0,0.0,1.0,0.0,0.0,1.0
388,388,세종청주생막걸리,https://thesool.com/common/imageView.do?targetId=PR00000159&targetNm=PRODUCT,탁주,"쌀, 소맥분",6.0,750ml / 1200ml,국내산 쌀과 함께 소맥분을 사용하여 소맥분 특유의 목 넘김과 함께 진한 맛을 느낄수 있는 청주의 대표 막걸리. 직접 배양한 효모와 100% 국내쌀과 고두밥을 청주의 맑은 물과 함께 저온 발효 시켜 숙성하여 빚은 술.,김치전은 잘 익은 김치의 맛이 배어나와 막걸리와 잘 어울리는 음식이다. 생막걸리 특유의 향이 김치의 텁텁한 맛을 감해주어 더욱 좋다.,조은술 세종,http://www.joeunsulsj.co.kr,0.0,0.0,0.0,0.0,0.0,0.0,1.0
389,389,소계리 595 스위트 레드와인,https://thesool.com/common/imageView.do?targetId=PR00000771&targetNm=PRODUCT,과실주,"포도(국내산), 설탕, 효모, 메타중아황산칼륨",12.0,750ml,충청북도 영동지역에서 직접 재배한 당도 높은 포도로 와인을 만들어 고유의 향과 맛이 뛰어나다.,"치킨, 스테이크, 돈까스 등 다양한 육류",소계리 와이너리,https://smartstore.naver.com/sokyeriwine,1.0,0.0,0.0,0.0,0.0,0.0,0.0
390,390,소나무와 학,https://thesool.com/common/imageView.do?targetId=PR00000581&targetNm=PRODUCT,증류주,"국내산 쌀, 황기",43.0,700ml,"충북 제천시 송학면의 상징인 소나무와 학(Pine&amp;Crane)은 전통증류주방식으로 제천 약초를 이용하여 농촌종합개발사업의 일환으로 탄생하였다. 오대쌀을 발효·숙성한 다음 감압증류방식으로 증류하고 황기, 당귀 등의 약초에 침출 후 1년 이상 장기 숙성한 술로 약초향과 함께 깔끔한 맛이 난다.","깐풍기 깐풍기는 고추와 마늘로 향을 내서 볶아내는 닭요리로 기름에 튀겨 느끼할 수 있는데, 소나무와 학의 깔끔함이 기름진 맛을 잡아주고 은은한 약초향이 마늘소스 향과 잘 어우러져 증류주의 맛을 돋보이게 한다.",용두산조은술(영),,0.0,0.0,0.0,0.0,0.0,0.0,1.0
391,391,소백산(샤토소백) 스위트 레드와인,https://thesool.com/common/imageView.do?targetId=PR00000801&targetNm=PRODUCT,과실주,국내산포도 100%,12.0,750ml,"다른 떼루아 다른 맛과 향기, 소백산자연을 그대로 담은 명품 한국와인입니다.",,산내들 와이너리,https://smartstore.naver.com/sobaekwine,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,392,소양강 생 막걸리,https://thesool.com/common/imageView.do?targetId=PR00000063&targetNm=PRODUCT,탁주,"백미, 소맥분, 정제수, 팽화미, 아스파탐, 물엿, 정제수",6.0,750ml/ 1700ml,"소양강 생 막걸리는 100% 국내산 쌀을 이용하며 춘천의 깨끗한 자연환경 아래서 빚어내는 막걸리입니다. 일반적으로 기간이나 온도를 조절해 막걸리를 숙성하는 경우가 많지만, 소양강 생 막걸리 특유의 묵직한 맛을 위해 저온발효 공법으로 만들어 긴 숙성시간을 가지고 있습니다. 4계절을 가지고 있는 우리나라의 특성상 시기마다 원재료의 맛이 달라 봄, 여름, 가을, 겨울의 사계절마다 다른 맛이 나는 것이 특징입니다.",밀가루와 팽화미를 이용해 고소한 맛과 텁텁함이 있습니다. 단맛이 적고 산미가 도드라지며 목넘김이 깔끔합니다. 마시고 난 뒤 쓴맛의 여운이 깁니다. 황태구이와 잘 어울립니다.,"소양강도가(구, 천정양조장)",http://sygdoga.modoo.at/,0.0,1.0,1.0,1.0,0.0,0.0,0.0
393,393,소여강,https://thesool.com/common/imageView.do?targetId=PR00000527&targetNm=PRODUCT,증류주,"쌀(경기미), 누룩(국내산), 물(정제수)",42.0,375ml,추연당의 전통 오양주 방식으로 재현한 청주 순향주를 정성스럽게 담아 동 증류기에서 상압으로 증류한 품격 있는 전통 소주입니다. 추연당의 전통 소주는 모든 과정을 손으로 빚고 있으며 경기도 여주쌀과 우리나라 토종밀인 앉은뱅이 밀로 만든 누룩을 가지고 옥으로 된 암반에서 흐르는 지하수로 빚은 고품격 프리미엄 전통 소주로 경기도의 추천을 받은 지역 전통 소주입니다.,"얼큰한 국물류, 곱창전골, 담백한 샤브샤브",추연당,https://smartstore.naver.com/chuyondang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,394,소여강 25%,https://thesool.com/common/imageView.do?targetId=PR00000748&targetNm=PRODUCT,증류주,"쌀증류주원액(국내 여주쌀), 정제수",25.0,375ml,프리미엄 술들이 선택한 단식증류방식으로 2번 내린 증류주. 추연당만의 여과기법과 숙성을 통해 저도수 증류주에서 느낄 수 없는 탁월한 밸런스를 느낄 수 있다.,"양념갈비, 미나리삼겹살",추연당,https://smartstore.naver.com/chuyondang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,395,소호,https://thesool.com/common/imageView.do?targetId=PR00000566&targetNm=PRODUCT,증류주,"평택 쌀(발아 현미, 백미), 누룩, 정제수, 대나무잎",36.5,"350ml, 750ml",직접 제작한 증류기로 내려 1년 여간 숙성한 증류소주입니다. 2번 증류한 36.5도와 3번 내린 56도 두 가지가 있습니다. 높은 도수에도 부드러운 목 넘김을 자랑하고 혀끝으로 산뜻한 배향이 감돕니다. 소호 56도는 양조장 대표 이계송 화백의 작품 ‘상춘’을 레이블로 입혔습니다.,,밝은세상영농조합,http://www.tigercalyx.com/,0.0,0.0,0.0,0.0,0.0,0.0,1.0
396,396,소호,https://thesool.com/common/imageView.do?targetId=PR00000566&targetNm=PRODUCT,증류주,"평택 쌀(발아 현미, 백미), 누룩, 정제수, 대나무잎",56.00000000000001,"350ml, 750ml",직접 제작한 증류기로 내려 1년 여간 숙성한 증류소주입니다. 2번 증류한 36.5도와 3번 내린 56도 두 가지가 있습니다. 높은 도수에도 부드러운 목 넘김을 자랑하고 혀끝으로 산뜻한 배향이 감돕니다. 소호 56도는 양조장 대표 이계송 화백의 작품 ‘상춘’을 레이블로 입혔습니다.,,밝은세상영농조합,http://www.tigercalyx.com/,0.0,0.0,0.0,0.0,0.0,0.0,1.0
397,397,손가네 태종대 개똥쑥생막걸리,https://thesool.com/common/imageView.do?targetId=PR00000097&targetNm=PRODUCT,탁주,"정제수, 쌀, 태종대개똥쑥추출물, 입국, 누룩, 정제효소, 이소말토올리고당, 구연산, 아스파탐, 효모",6.0,750ml,"저온 추출법으로 추출해 특유의 향을 최소로 줄인 개똥쑥액 10%와 막걸리와 섞어 본연의 맛과 향을 보존했다. 쑥향의 씁쓸한 향이 은은하게 나며, 맛이 풍부하면서 부드럽다. 깔끔하면서도 가벼운 목 넘김을 느낄 수 있다.","땡초어묵, 대패삼겹살",태종대양조,,0.0,0.0,1.0,0.0,0.0,0.0,1.0
398,398,솔송주,https://thesool.com/common/imageView.do?targetId=PR00000335&targetNm=PRODUCT,"약주, 청주","백미(국내산) 90%, 솔잎·송순(국내산) 10%",13.0,375ml,"하동 정씨집안에서 500년전부터 이어져온 전통약주로 청정지리산의 맑은 물을 바탕으로 우리 쌀과 솔잎, 송순을 발효시켜 빚어 강하거나 부담스럽지 않고, 은은한 솔향과 감칠맛이 특징이다.",돼지갈비구이 솔송주의 부드러운 맛과 함께 느낄 수 있는 솔향이 은은하게 풍기며 돼지갈비구이의 누린내를 없애주고 입안을 시원하게 해준다.,솔송주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074038,0.0,0.0,0.0,0.0,0.0,1.0,1.0
399,399,송로주,https://thesool.com/common/imageView.do?targetId=PR00000582&targetNm=PRODUCT,증류주,"멥쌀, 솔옹이, 솔잎, 복령",48.0,700ml,"송로주는 조선시대부터 양조되어 3대에 걸쳐 이어진 술로 소나무‘송(松)’에 이슬‘로(露)’자를 써서 붙여진 이름이다. 속리산 깊은 산골에서 채취한 소나무 잎과 솔옹이, 그리고 소나무뿌리에 서자라는 귀한 복령을 이용하여 먼저 송절주를 만들어낸다. 이 송절주를 증류하여 받아낸 술이 바로 송로주이다. 장복하면 장수할 수 있다는 속설이 있고, 동의보감 음식법에는 관절신경통에 특효가 있다고 기록되어 있다.","표고버섯나물 표고버섯나물은 불에 달군 팬에 버섯을 볶다가 다진 마늘, 소금으로 간만하면 되는데 쫄깃한 식감에 표고향이 입안에 감돌아 솔향 가득한 송로주와 환상궁합이다.",송로주,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
400,400,송명섭 막걸리,https://thesool.com/common/imageView.do?targetId=PR00000176&targetNm=PRODUCT,탁주,"국내산쌀, 곡자, 정제수",6.0,500ml,"‘막걸리 마니아’들이 흔쾌히 국내 최고의 막걸리라고 손꼽는 ‘송명섭막걸리’의 대표 송명섭 명인이 빚는 막걸리로 흔히 ‘송막’이라고 부르는 막걸리다. 직접 재배한 밀로 누룩을 만들고, 직접 재배한 쌀로 술을 빚는다. 무첨가 막걸리. 텁텁하고 시큼한 맛이 나는 막걸리, 단맛이 거의 느껴지지 않는 막걸리다. 대한민국 식품명인 제48호 송명섭 명인이 본인의 이름을 걸고 빚은 수제 막걸리이다.",송명섭 막걸리는 빚는 이를 닮아 소박한 맛이 난다. 어떠한 첨가물로 넣지 않았기 때문에 대중적인 막걸리와는 달리 단맛과 신맛이 거의 느껴지지 않는다. 입맛을 사로잡는 달달함은 없지만 마시고 나서 입안을 개운하게 한다. 그렇기 때문에 계속해서 마셔도 질리지 않는 막걸리이다. 맵고 짠 한식이나 기름진 고기류와의 음식 궁합이 좋다.,태인합동주조장,http://www.태인양조장.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,401,송이주,https://thesool.com/common/imageView.do?targetId=PR00000321&targetNm=PRODUCT,"약주, 청주","국내산 쌀, 송이농축액, 누룩, 정제수",13.0,375ml,"""송이주""는 옛 문헌에서 버섯 중에 으뜸으로 동서양의 문헌에서 버섯 중에 최고로 꼽는 송이버섯으로 빚은 약주이다. 독특한 향과 맛으로 소비자들에게 많은 호응을 얻고 있는 제품으로 미국 캘리포니아 리버사이드 국제 와인대회에서 2년 연속 수상을 하며 세계인의 입맛도 사로잡았다. 옅은 황녹색의 빛깔을 띄며 청량한 향을 풍기고 입안에서는 부드럽게 머물다 걸림없이 넘어간다. 술을 마신 후 입안에 남는 잔향도 매력적인 술이다.",술 이름과는 다르게 신선한 레몬 등의 시트러스 향이 매우 강하게 올라오고 여기에 연하게 버섯향이 섞여있는 것이 특징이다. 전체적으로 산미가 중심을 잡고 미세하게 후추 맛이 섞여 있어 매우 독특하다. 술을 마시고 난 후에도 술이 무겁지 않고 가벼워 편하게 마실 수 있는 술이다. 소 등심 구이랑 잘 어울린다.,내국양조,https://cafe.naver.com/jumarusa,0.0,0.0,0.0,1.0,1.0,0.0,1.0
402,402,송화백일주,https://thesool.com/common/imageView.do?targetId=PR00000649&targetNm=PRODUCT,리큐르/기타주류,"송화, 솔잎, 산수유, 오미자, 구기자",38.0,700ml,"솔향이 풍부하며 입안에 풍미가 뛰어나고, 여운이 은은하게 오래도록 유지된다. 송화, 솔잎, 산수유, 오미자, 구기자 등의 천연재료를 사용하여 장기 숙성 후 출시한다. 솔향이 안정적으로 잘 잡혀있으며 장미향수가 장미향보다 더 진한 것처럼 송화백일주의 향은 솔향보다 더 짙다.",취나물 취나물은 알칼리성식품으로 나트륨을 배출하는 작용을 하여 몸속에 나트륨을 조절해주는 역할도 한다. 입안에 은은하게 퍼지는 송화백일주 한잔에 나물안주의 소박함이 정겹다.,송화양조원,http://www.songhwa.co.kr/default/,0.0,0.0,0.0,0.0,0.0,1.0,1.0
403,403,수삼단본 720,https://thesool.com/common/imageView.do?targetId=PR00000583&targetNm=PRODUCT,증류주,"국내산 쌀, 국내산 인삼",43.0,720ml,"금산인삼주는 인삼의 종주지인 금산에서 생산된 약효가 뛰어난 5년근 이상의 인삼, 쌀, 누룩 그리고 물탕골 천연암반수를 사용하여 전통적 방법으로 저온 발효시킨 양조주로, 소주에 단순히 인삼을 담가 우려낸 침출주와는 달리 순하고 은은한 인삼의 청향과 풍미를 만끽할 수 있다.","생선회쫄깃한 식감과 고소한 맛의 생선회 한 점과 금산인삼주 한 모금하면 생선회의 비린 맛도 가시고, 인삼향의 깊고 강한 향이 오랫동안 입안에 머무른다.",㈜금산인삼주,www.insamwine.com,0.0,0.0,0.0,0.0,0.0,0.0,1.0
404,404,수성 프리미엄 백주43,https://thesool.com/common/imageView.do?targetId=PR00000509&targetNm=PRODUCT,증류주,"수수, 정제수",43.0,500ml,"붉은 수수 증류 원액만을 여러차례 정제해 담근 술로, 알곡 수수를 엄선하여 고체발효공법으로 발효시켰다. 주정이나 포도당을 사용하지 않아 순도가 높은 증류곡주로 그윽하고 은은한 곡향이 특징이다. 자극적이지 않고부드러운 목 넘김을 가졌으며 몸 안을 따뜻하게 데워준다.","탕수육, 동파육",㈜수성주류,http://www.soosungliquor.com/,0.0,0.0,0.0,0.0,0.0,0.0,1.0
405,405,순향주,https://thesool.com/common/imageView.do?targetId=PR00000288&targetNm=PRODUCT,"약주, 청주","쌀, 누룩, 정제수",15.0,375ml,"고문헌의 청주 제조법을 &quot;오양주&quot; 방식으로 재현해낸 술로, 원재료 특유의 고소한 곡물향과 진한 맛을 느낄 수 있다. 묵직한 바디감 속 옅은 단맛과 산미가 조화를 이룬다.","돼지고기수육, 해산물요리",추연당,https://smartstore.naver.com/chuyondang,1.0,0.0,0.0,1.0,0.0,0.0,1.0
406,406,술공방 9.0 막걸리,https://thesool.com/common/imageView.do?targetId=PR00000134&targetNm=PRODUCT,탁주,"정제수, 쌀(국내산), 국(쌀, 국내산), 누룩(밀)",9.0,500ml,"수제 누룩과 청양 햅쌀의 진하고 풍부한 맛을 느낄 수 있으며 살짝만 흔들어도 될 정도로 걸쭉한 느낌을 가지고 있습니다. 발효의 조화만으로 바나나 향 첨가 없이 바나나 맛이 납니다. 또한, 진하고 풍부한 바디감과 강렬한 탄산, 향긋한 산미를 가진 수제 막걸리입니다.","국물 떡볶이, 매운탕, 고기전",아리랑주조,https://ystar.modoo.at/,1.0,0.0,0.0,1.0,1.0,0.0,0.0
407,407,술그리다 생탁주,https://thesool.com/common/imageView.do?targetId=PR00000172&targetNm=PRODUCT,탁주,"국내산쌀, 누룩",10.0,500ml,"""술그리다 생탁주""는 조선시대 고급술에 사용되던 양조 기법인 삼양주(세 번 빚는 술)에서 아이디어를 얻어서 실제로 세 번으로 나누어 빚는 삼양주 기법을 사용한 막걸리이다. 소수의 양반가에서만 빚어 마시던 삼양주(三釀酒)를 현대적 취향에 맞게 새로이 복원한 고급 발효주이다. 미생물의 배양을 극대화하여 깊고 풍부한 맛과 향을 자랑하는 제품이다. ""술그리다 생탁주""는 차갑게 보관 했다가 와인잔에 따라 마신다. 얼음 한 두개를 넣어서 마시면 청량감을 더욱 높일 수 있다. 일체 첨가물을 넣지 않은 제품으로 고유의 부드러운 맛과 풍부한 유산균을 함유하고 있어 담백한 맛의 전류과 같은 한식과 매우 잘 어울린다.",곡물 발효향이 미세하게 올라오고 일반 막걸리에 비해 알코올 도수가 높지만 술 맛은 매우 가볍게 느껴진다. 전체적으로 산뜻한 산미가 입 안을 채우고 목 넘김이 매우 부드럽고 술을 마시고 난 후에도 깔끔한 것이 특징이다. 음식은 양념된 맛이 강한 음식보다는 양념이 되지 않은 백숙 등과 잘 어울린다.,좋은술,https://jsul.modoo.at/,0.0,0.0,0.0,1.0,1.0,0.0,1.0
408,408,술샘16,https://thesool.com/common/imageView.do?targetId=PR00000629&targetNm=PRODUCT,리큐르/기타주류,"쌀(국내산), 오미자(국내산), 주정, 정백당",16.0,375ml,"술샘16은 국내산 오미자 100%를 증류주에 침출하여 향이 살아있게 만든 술이다. 오미자 특유의 5가지(단맛, 신맛, 쓴맛, 매운맛, 짠맛) 신비한 맛을 그대로 느낄 수 있다.","파티음식, 샐러드, 육류 및 치즈, 해산물과 잘 어울린다.",술샘,http://www.sulseam.com,1.0,1.0,1.0,1.0,0.0,0.0,0.0
409,409,술샘19,https://thesool.com/common/imageView.do?targetId=PR00000628&targetNm=PRODUCT,리큐르/기타주류,"주정, 증류식소주, 정백당, 생강, 강황(국내산)",19.0,375ml,술샘19는 투명하면서 아름다운 레몬 빛깔로 눈을 즐겁게 하며 한 모금 마셨을 때 입안에 가득 퍼지는 강황의 향과 맛이 일품이다. 국내산 강황을 증류주에 침출하여 향이 살아있게 만들었다. 은은하게 퍼지는 특유의 향과 맛이 특징이다.,,술샘,http://www.sulseam.com,0.0,0.0,0.0,0.0,0.0,0.0,1.0
410,410,술아 국화주,https://thesool.com/common/imageView.do?targetId=PR00000307&targetNm=PRODUCT,"약주, 청주","국내산 찹쌀, 누룩, 건조국화꽃, 증류주, 정제수",15.0,375ml,&amp;amp;quot;술아&amp;amp;quot;는 두가지 술이 만나 새로운 술이 만들어지는 한국의 전통주인 과하주를 복원한 제품이다. 과하주는 1670년 &amp;amp;quot;음식디미방&amp;amp;quot;에 등장하며 발효주와 증류주를 혼합하여 제조한 조선시대 대표적인 명주이다. 1956년 안타깝게 그 명맥이 끊겼으나 최근 그 제조법을 복원하여 상품화 되었다. 술아 국화주는 가을 국화를 넣어 코 끝에 스치는 향이 일품이다.,"국화 특유의 진한 향과 어우러진 약주. 단맛이 주를 이루지만, 거부감이 없는 자연스러움이 묻어난다. 진한 단맛과 긴 후미로 자극성 적고, 가벼운 샐러드류를 추천한다.",술아원,http://soolawon.co.kr/,1.0,0.0,0.0,0.0,0.0,0.0,1.0
411,411,술아 매화주,https://thesool.com/common/imageView.do?targetId=PR00000309&targetNm=PRODUCT,"약주, 청주","국내산 찹쌀, 누룩, 건조매화꽃, 증류주, 정제수",15.0,375ml,&amp;quot;술아&amp;quot;는 두가지 술이 만나 새로운 술이 만들어지는 한국의 전통주인 과하주를 복원한 제품이다. 과하주는 1670년 &amp;quot;음식디미방&amp;quot;에 등장하며 발효주와 증류주를 혼합하여 제조한 조선시대 대표적인 명주이다. 1956년 안타깝게 그 명맥이 끊겼으나 최근 그 제조법을 복원하여 상품화 되었다. 술아 매화주는 건조매화를 첨가하여 봄 내음이 가득하다.,"봄의 향기가 느껴지는 꽃향에서 시작, 상큼한 맛이 스쳐가지만 이내 쌀이 주는 달콤함으로 마무리가 되는 술이다. 진한 단맛과 긴 후미로 자극성 적고, 가벼운 샐러드류를 추천한다",술아원,http://soolawon.co.kr/,1.0,0.0,0.0,0.0,0.0,0.0,1.0
412,412,술아 순곡주,https://thesool.com/common/imageView.do?targetId=PR00000306&targetNm=PRODUCT,"약주, 청주","국내산 찹쌀, 누룩, 증류주, 정제수",20.0,375ml,&amp;quot;술아&amp;quot;는 두가지 술이 만나 새로운 술이 만들어지는 한국의 전통주인 과하주를 복원한 제품이다. 과하주는 1670년 &amp;quot;음식디미방&amp;quot;에 등장하며 발효주와 증류주를 혼합하여 제조한 조선시대 대표적인 명주이다. 1956년 안타깝게 그 명맥이 끊겼으나 최근 그 제조법을 복원하여 상품화 되었다. 술아 순곡주는 겨울을 의미하며 여주산 찹쌀만으로 빚어 순수하고 깨끗한 맛을 자아낸다.,"진한 쌀 맛과 묵직한 술 맛이 그대로 살아있는 약주. 달콤함과 진함의 극치를 이룬다. 알코올 도수가 20로도 높은 만큼 맑은 장국 등 하고도 잘 어울린다. 비교적 가벼운 느낌의 맑은 소고기국, 미역국, 계란국 등도 좋은 매칭이다.",술아원,http://soolawon.co.kr/,1.0,0.0,0.0,0.0,0.0,0.0,0.0
413,413,술아 연화주,https://thesool.com/common/imageView.do?targetId=PR00000308&targetNm=PRODUCT,"약주, 청주","국내산 찹쌀, 누룩, 건조연화꽃, 증류주, 정제수",15.0,375ml,&quot;술아&quot;는 두가지 술이 만나 새로운 술이 만들어지는 한국의 전통주인 과하주를 복원한 제품이다. 과하주는 1670년 &quot;음식디미방&quot;에 등장하며 발효주와 증류주를 혼합하여 제조한 조선시대 대표적인 명주이다. 1956년 안타깝게 그 명맥이 끊겼으나 최근 그 제조법을 복원하여 상품화 되었다. 술아 연화주는 여름의 연꽃과 연잎을 넣어 신선하고 맑은 맛이 일품이다. [네이버 지식백과] 술아 연화주 - 여름의 연꽃과 잎을 넣어 신선하고 맑은 맛이 일품이다.,&amp;quot;술아&amp;quot;는 두가지 술이 만나 새로운 술이 만들어지는 한국의 전통주인 과하주를 복원한 제품이다. 과하주는 1670년 &amp;quot;음식디미방&amp;quot;에 등장하며 발효주와 증류주를 혼합하여 제조한 조선시대 대표적인 명주이다. 1956년 안타깝게 그 명맥이 끊겼으나 최근 그 제조법을 복원하여 상품화 되었다. 술아 연화주는 여름의 연꽃과 연잎을 넣어 신선하고 맑은 맛이 일품이다. [네이버 지식백과] 술아 연화주 - 여름의 연꽃과 잎을 넣어 신선하고 맑은 맛이 일품이다.,술아원,https://soolawon.modoo.at/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,414,술아 핸드메이드 막걸리,https://thesool.com/common/imageView.do?targetId=PR00000175&targetNm=PRODUCT,탁주,"국내산 찹쌀, 누룩, 정제수",8.0,450ml,"술아 핸드메이드 막걸리는 오래전 집집마다 가양주 형태로 어머니들이 빚었던 전통방식 그대로 쌀과, 누룩, 물로만 만든 인공첨가물이 전혀 없는 순수한 막걸리이다. 땅과 물이 좋기로 유명하여 임금님에게 진상하던 쌀로 유명한 여주의 최고급 햇찹쌀만을 사용하여 만든 프리미엄 막걸리이다. 첨가물을 넣지 않고 알코올 도수를 높여 쌀과 누룩의 깊은 향을 느낄 수 있으며 살균하지 않은 생막걸리이므로 날짜가 지날 수록 맛이 다양해진다. 술아 막걸리는 일체의 첨가물이 들어가지 않은 100% 핸드메이드 방식으로 제조된다. 막걸리를 빚어 병입한 후부터 시간이 지날 수록 색다른 맛을 선사하고 있다. 10일까지는 달콤한 술 맛을 느낄 수 있으며 20일이 지나서는 탄산의 청량감과 새콤달콤한 술 맛을 느낄 수 있으며 30일까지는 전통 가양주 막걸리의 드라이한 술 맛을 느낄 수 있다.","진한 쌀 맛과 묵직한 술 맛이 그대로 살아있는 약주. 달콤함과 진함의 극치를 이룬다. 알코올 도수가 20로도 높은 만큼 맑은 장국 등 하고도 잘 어울린다. 비교적 가벼운 느낌의 맑은 소고기국, 미역국, 계란국 등도 좋은 매칭이다.",술아원,http://soolawon.co.kr/,1.0,0.0,0.0,1.0,1.0,0.0,1.0
415,415,술예쁘다 생탁주,https://thesool.com/common/imageView.do?targetId=PR00000184&targetNm=PRODUCT,탁주,"국내산 쌀, 누룩",13.0,500ml,"""술예쁘다 생탁주""는 시중에 출시되어 있는 전통주와는 원료와 제조방법에서 완전히 차별화를 기하고 국내산 누룩과 1등급 평택 슈퍼오닝쌀만을 이용해 삼양주로 빚고 100일간의 발효과정과 장기 저온숙성 과정을 거쳐 탄생한 프리미엄 막걸리이다. CD00000233을 띄고 있는 제품으로 인공감미료 및 방부제는 사용하지 않은 순수 쌀과 누룩만으로 빚은 건강한 술이다.",&quot;술예쁘다 생탁주&quot;는 차갑게 보관 했다가 와인잔에 따라 마신다. 얼음 한 두개를 넣어서 마시면 청량감을 더욱 높일 수 있다. 일체 첨가물을 넣지 않은 제품으로 고유의 부드러운 맛과 풍부한 유산균을 함유하고 있어 담백한 맛의 전류과 같은 한식과 매우 잘 어울린다.,좋은술,https://jsul.modoo.at/,0.0,0.0,0.0,0.0,1.0,0.0,0.0
416,416,술취한 원숭이,https://thesool.com/common/imageView.do?targetId=PR00000207&targetNm=PRODUCT,탁주,"쌀(국내산 경기미 100%), 누룩, 홍국, 정제수",10.8,375ml,"붉은 쌀 홍국을 넣어 만들어 말린 장미처럼 고혹적인 붉은빛을 띠는 막걸리. 인공색소나 합성감미료 없이 쌀과 홍국, 누룩, 물로만 빚어 만듭니다. 막걸리 특유의 부드러운 곡향이 진하지만 달지 않고 드라이해 어떤 음식과도 잘 어울립니다. 살균탁주 버전 ‘붉은 원숭이’도 있습니다.","과일, 치즈",술샘,http://www.sulseam.com,0.0,0.0,0.0,0.0,0.0,0.0,1.0
417,417,술헤는밤,https://thesool.com/common/imageView.do?targetId=PR00000149&targetNm=PRODUCT,탁주,"쌀(국내산), 누룩(국내산)",8.0,750ml,술헤는밤은 이양주법으로 빚은 생탁주로 윤동주 시인의 별 헤는 밤처럼 추억과 사랑을 담아낸 제품이다. 첨가물 없이 강원도의 맑은 물과 자연이 키운 쌀로 빚었다. 탄산과 단맛이 강하지 않고 무겁지 않은 바디감으로 목 넘김이 부드러우며 깔끔한 맛과 향이 특징이다.,"녹두전, 파전, 매콤한 회무침, 샐러드와 어울린다.",두루전통양조,https://smartstore.naver.com/durusul,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,418,스타베리오디,https://thesool.com/common/imageView.do?targetId=PR00000432&targetNm=PRODUCT,과실주,양조용포도(영천),12.0,500ml,스타베리 오디와인은 35년간 한국와인을 연구하고 생산해온 한국와인의 선구자 하형태 대표의 또 하나의 역작이다. 보현산 천문대가 위치한 영천시의 상징이 별(star)이기에 &quot;스타베리 오디와인&quot;이라고 브랜드명을 지었다. 동의보감에 오디주를 &quot;상심주&quot;라고 불렀고 예로부터 수명을 늘려주는 술로 백발을 검게 만들과 노화를 방지한다고 쓰여있다. 스타베리 오디와인은 뽕나무 열매 오디로 빚은 100% 정통발효 와인이다. 아름다운 루비색을 띄며 한국 교유 과실의 복합적인 아로마향과 매력적인 부케를 즐길 수 있는 한국와인이다.,스타베리 오디와인은 35년간 한국와인을 연구하고 생산해온 한국와인의 선구자 하형태 대표의 또 하나의 역작이다. 보현산 천문대가 위치한 영천시의 상징이 별(star)이기에 &amp;quot;스타베리 오디와인&amp;quot;이라고 브랜드명을 지었다. 동의보감에 오디주를 &amp;quot;상심주&amp;quot;라고 불렀고 예로부터 수명을 늘려주는 술로 백발을 검게 만들과 노화를 방지한다고 쓰여있다.,한국와인,http://www.vincoree.com,0.0,0.0,0.0,0.0,0.0,0.0,1.0
419,419,스파클링와인,https://thesool.com/common/imageView.do?targetId=PR00000438&targetNm=PRODUCT,과실주,사과,7.199999999999999,750ml,"잘익은 사과를 11월 초에 수확하여, 세척 및 파쇄하여 발효시킨 사과와인에 Co2를 녹여들게 만들어서 섬세한 기포를 자랑합니다. 사과에서 나오는 향긋한 사과산과 구연산이 어우러져 그 상큼한 맛을 더하고 있습니다. 각종 연회나 파티에 만찬주로 적당합니다.",치즈 및 과일 안주하고 잘 어울립니다.,고도리 와이너리,http://고도리와인.com,0.0,0.0,0.0,1.0,0.0,0.0,0.0
